"stockage","stockage","permet le stockage des eaux sur une durée longue dans l'attente de leur évacuation"
"infiltration","infiltration","stockage non étanche - les eaux s'infiltrent dans le terrain"
"retention","rétention","permet le stockage temporaire des eaux (transit)"
"filtration","filtration","permet une filtration avant rejet"
"evaporation","évaporation","assure ou facilite l'évaporation ou l'évapotranspiration"
"reutilisation","réutilisation","stockage en attente de réutilisation des eaux"
"biodiversite","biodiversité","créer pour maintenir ou améliorer la biodiversité ou espace vert"
"diminution","diminution écoulement","réduit ou ralentit les écoulements ou ruissellement"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
